text,date,title,rating,product name
"
  This wig is definitely not for adults. We had several adults try this wig on with it as big as it can go and it still didn't fit anyone. Not to mention this wig is just awkward over all as you no woman could wear it with a wig cap as it sits to high in the back. Definitely not what we expected for how much this wig costs.
","Reviewed in the United States on December 28, 2017",Too small for any adult,2,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Awesome wig! Got compliments on it all night! Stayed in place. Only have 4 stars because When I have it on my forehead where I want, it doesn’t go low enough on the back of the head, showing a couple inches of hair. I just spray painted the hair pink and it wasn’t a big deal though
","Reviewed in the United States on October 27, 2019",Overall great wig,4,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  One size fits most kids but too small for adults.
","Reviewed in the United States on September 30, 2018",Too small for average adult head,2,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Fit snug but got so many compliments ! Worked great for my costume
","Reviewed in the United States on February 3, 2019",Cute wig,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  This is a very fun piece. Everyone who saw it could not stop laughing and feel happy. Very good for all ages to have fun and be goofy.Thank you
","Reviewed in the United States on July 27, 2018",Great piece,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  great addition for my troll costume!
","Reviewed in the United States on October 30, 2018",love it!,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Fun purchase! Arrived as expected. Worked great for our Troll costumes.
","Reviewed in the United States on December 1, 2017",Fun Purchase!,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Great look, my family were all trolls and this wig was perfect for the theme party.
","Reviewed in the United States on May 3, 2018",Five Stars,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Fun and well worth it!
","Reviewed in the United States on November 23, 2017",Fun!,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  I like it but the stars are falling off it looks bad
","Reviewed in the United States on February 19, 2018",Two Stars,2,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Very happy with my purchase. Looking forward to wearing the outfit for our Fun Run day!! Thank you also for the prompt delivery
","Reviewed in the United States on June 19, 2018",Great Fit,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Perfect for trolls and stayed on my head nicely!! Thank you
","Reviewed in the United States on November 4, 2018",Five Stars,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Perfect for my troll costume!
","Reviewed in the United States on November 15, 2017",Five Stars,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Looks like the picture but It didn't really fit my head.
","Reviewed in the United States on September 6, 2018",Three Stars,3,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Excellent buy
","Reviewed in the United States on November 5, 2018",Five Stars,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Perfect wig
","Reviewed in the United States on November 12, 2018",Perfect wig,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Me gusto mucho.
","Reviewed in the United States on March 13, 2018",Five Stars,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  The wig is well packaged so that it holds its shape while being shipped and it can be reused for storage. It looks great!
","Reviewed in the United States on September 4, 2017",Thumbs up!,5,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  such pretty colors & came with a hair net to keep all my hair in place when wearing the wig -- i had to return this product without ever even trying it on tho, because it arrived later than i needed it for my costume... but if it would have been on time, IT WOULD HAVE BEEN PERFECT for our Trolls-themed costume party for my office on Halloween
","Reviewed in the United States on January 8, 2018",such pretty colors & came with a hair net to keep ...,4,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  worked well for a 4th of july costume
","Reviewed in the United States on June 21, 2018",Four Stars,4,"Chestnut Cone Wig wWig Cap Cosplay Costume Party Halloween Colorful Hairpiece for Men,Women"
"
  Very well made! My son couldn’t be happier. The mask is excellent quality, I was really surprised. The gloves are nice too. The bowtie is part of the body suit. I’m very happy with this purchase, well worth the money.
","Reviewed in the United States on September 3, 2019",Great quality!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  This took a while to finally be available and then shipped. Two rescheduling of shipping at that but this product is pretty nice. I have a shorter 7y.o. boy but nothing like a little fix for the leg length can't help. The Mask is pretty well made although you might need to do a little tweaking. The mask has a foam type attachment to keep the mask level and not have the mask touch the kids face and make them feel suffocated.
","Reviewed in the United States on September 29, 2019",Bendy Costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Mask and suit are nice quality. I ordered the XL for my 10year old son because he usually wears 14 or husky 12 and it fits great. Mask is comfortable and plenty of room to see. Worth every penny and shipped quick!!!
","Reviewed in the United States on October 7, 2019",Worth every penny for my 10 year old,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  For those all wondering about the sizing - my son is turning 5 in a few weeks. Wears size 5T. I got the medium since there is no option for size small. It’s HUGE on him. I have the arms and legs rolled 3 times! Not sure if I can shrink it or not. Definitely not going to spend more money and get it tailored.  Costume is cute, over priced for costume material. Wish they had more options for sizing.
","Reviewed in the United States on October 20, 2019",Huge,3,Disguise Bendy & The Ink Machine Classic Child Costume
"
  I ordered this Halloween costume for my 4 year old grandson. It was available only in a medium at that time.  When it arrived,  it appeared to be way too big. However,  we were able to tack and tuck the hemline. The mask is hard and attaches around the head with a velcro strap. The strap came off the mask completely.  While there were a few minor hangup, my grandson loved the costume and made it look fabulous!
","Reviewed in the United States on December 7, 2019","Bendy, he is awesome and so is this costume",5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  I purchased this for my 5 year old son and the quality is awesome. Size is perfect. Price for costume is worth every penny. He loves it!
","Reviewed in the United States on September 14, 2020",Great Quality,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loved the costume. Was comparable in price to the other costume stores at time of purchase. You can put clothes on underneath aa long as you size it correctly. We got a Large. My son was 9 at the time of purchase. He weighs 72 pounds & about 4'4"" & the length was perfect.
","Reviewed in the United States on March 6, 2020",Son LOVED this costume!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loved the costume. It fit perfectly ( 8 yo 14/16) - he’s big for his age. It’s comfortable and snug but not a lot of growing room. Quality is decent for Halloween costume. Mask looks great. Only a small vent for nose. No vent for mouth but because it doesn’t go completely around the face I think it’s doable and breathable. We only had it on for a few minutes to try on. I didn’t take a pic but will try to update next time it’s on. I’m sure he will want to eat it before Halloween. If your kid likes this character s/he will be pleased.
","Reviewed in the United States on October 10, 2020",As described,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  If you have a child that is obsessed with Bendy march than we have the same struggle! Of course my 8-year-old wanted to be Bendy for Halloween and upon shopping I found this one.  I LOVED the price and much of the Bendy stuff is over priced in my opinion but this costume was not, under $30 at the time of purchase and it is very cute on him : ) We have made sure not to give it to him before Halloween as the plastic mask is quite thin and easily broken but am happy with this purchase. I knew the material would  be pretty thin but we just layer up the kid and he is excited.  Great costume.
","Reviewed in the United States on October 29, 2020",Adorable and surprisingly inexpensive,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  I bought this for my 6 year old grandson in a size Medium. He is tall for his age (size 8 clothes). There's a little bit of extra length on the legs that is easily able to be clipped up with bobby pins. The added length is great since he'll be able to wear it all year! He loves to dress up as characters. Perfect costume and fit. Very well made.
","Reviewed in the United States on October 24, 2020",Very well made!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son is in love with this costume! As soon as it arrived he put it on and did the Bendy poses for me. The strap on the mask didn’t stick on one side, but nothing a few drops of crazy glue couldn’t take care of.  I rarely write a review - but this costume deserves one.
","Reviewed in the United States on October 10, 2020",Great costume for the money!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Perfect Bendy costume for my so.  The gloves and bow tie made the perfect accessories for the costume. The mask wasn’t too uncomfortable, according to my son, which is saying a lot.
","Reviewed in the United States on November 2, 2019",Great Bendy costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Durable costume! My son is young enough that he uses his Halloween costumes for dress up play too. I’ve washed it several times and holds up great!
","Reviewed in the United States on November 7, 2019",My son loves it!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  I bought this for my son who will be 6 in December. I ordered a small, but they sent a medium. Although it is a little long in the legs, the costume is amazing! My son absolutely loves it, and since they sent a medium instead he will be able to wear it much longer.
","Reviewed in the United States on September 25, 2020",Great costume!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son is a big fan for bendy ! We couldn’t find bendy custom in the market so I was glad to find him one in amazon however it’s so pricy compared to the quality of the custom ! Nothing is so special except it’s a bendy custom that you couldn’t find out in the stores .
","Reviewed in the United States on December 17, 2019",Great but expensive,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  The costume is great.. but they hiked up price to receive before the 31st. But hey I was rushed. Also the box says is a girl's costume and I ordered a boys. On the page it says kids. If you have a boy just don't tell them. Overall my son lives it.
","Reviewed in the United States on October 29, 2020",Bendy Halloween,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Just received the order today, but missing mask and gloves. The bodysuit itself looks nice, but really bummed that I didn’t get what I paid for. Hopefully this issue gets resolved.
","Reviewed in the United States on June 23, 2020",Missing items,2,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Too expensive for what it is. However, it made my son really happy for Halloween. Got him the large, as he is a bit husky at the moment and it fit great.
","Reviewed in the United States on November 9, 2019",8 year-old was happy for Halloween!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Oh my gosh this is so cute and my son loves it and he’s so excited for Halloween
","Reviewed in the United States on October 23, 2020",So dang cute,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My 7 year old is obsessed with this! Easy to put on. Easy to wash. Mask fits any age. Thumbs up!
","Reviewed in the United States on July 14, 2020",Great product,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loves the costume. It is not itchy but I think it’s too light.
","Reviewed in the United States on September 24, 2020",My son requested it,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Son loved it and it had the look
","Reviewed in the United States on March 29, 2020",It's Bendy,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  It came with 2 left gloves. Was just a black jump suit with a bow tie. The mask was the best part. I'd recommend just buying white gloves and putting 2 black dots on then and get a black body suit and add a bow tie. Mask is worth buying.
","Reviewed in the United States on February 16, 2020",Buy the mask and make the rest of the costume.,3,Disguise Bendy & The Ink Machine Classic Child Costume
"
  so adorable, my Grandson loves it.
","Reviewed in the United States on October 13, 2019",So cyte!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Bought this for the grandson since he's a big Bendy fan,it fit very well and he was very happy with it.
","Reviewed in the United States on October 18, 2019",Well-made,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My 8 year old loved it! Great quality
","Reviewed in the United States on December 19, 2019",Great quality,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Nicely made costume, material was thicker than most costumes I've seen for kids.
","Reviewed in the United States on November 8, 2019",Bendy was a hit,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loves it
","Reviewed in the United States on January 27, 2020",It worthy,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Nice Costume.
","Reviewed in the United States on November 29, 2019",Bendy costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Excellent costume!
","Reviewed in the United States on October 22, 2019",Perfect fit,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loved it!
","Reviewed in the United States on December 2, 2019",Very nice,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Loved it!
","Reviewed in the United States on February 11, 2020",🙂,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Son loved it.. comfortable
","Reviewed in the United States on January 4, 2020",Good costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  It looked great. The only thing i didnt like was the strap on the mask was broken off on one side and i fixed it the other side broke off.
","Reviewed in the United States on October 31, 2019",Kids loved it!,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Fit nicely and my son loved it plus it was comfortable to wear all day for my son.
","Reviewed in the United States on December 13, 2019",Good,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Exactly how it is pictured and size is correctly stated. Arrived on time and in excellent condition. My son was super happy with the costume. Can't wait for Halloween to wear it. These sell out fast, so I am very pleased with the costume.
","Reviewed in the United States on October 22, 2019",Great Costume!!!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loved it
","Reviewed in the United States on December 11, 2019",Perfect,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son was so excited,  and then to have other people  recognize him was even better. Only Bendy costume we saw!!!!
","Reviewed in the United States on November 3, 2019",Great quality!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  The costume was great. Grandson loved it. Only regret is our daughter didn't take any pictures on halloween.
","Reviewed in the United States on November 7, 2019",Loved it.,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Good fabric, gloves and mask.  Son likes it very much. Price tag very ok for the quality (30$)
","Reviewed in the United States on September 28, 2020",Good costume for the money,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Perfect for my 10yr old
","Reviewed in the United States on October 16, 2019",Runs small,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Excellent
","Reviewed in the United States on January 4, 2020",Excellent,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  I was pleasantly surprised at the thickness and the fit, but was saddened by the discoloration on the left leg. Due to the value, I will not return/replace the costume.
","Reviewed in the United States on October 8, 2020",Slightly let down.,3,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Fit amazingly and my son LOVES it. Quick shipping and replied to my questions quickly.
","Reviewed in the United States on October 2, 2019",A+++ seller and item,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Ordered M for my son who is 6. Fits well.
","Reviewed in the United States on October 4, 2020",Sizing,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  good costume
","Reviewed in the United States on October 8, 2020",grandson was happy with it,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  It fit my son perfectly. He said he didn't like the velcro closures in the back, but an overall success. He's been wearing it around the house!
","Reviewed in the United States on August 31, 2020",loves the costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My kid loves this. It fits perfectly and is very sturdy.
","Reviewed in the United States on October 12, 2020",Wonderful,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Custome is very well made however mask may cause your kid to have and accident
","Reviewed in the United States on October 28, 2020",Bad mask,3,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Very happy with the quality. Delivery earlier than expected thank you 🙏🏼
","Reviewed in the United States on October 25, 2019",Awesome,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Perfect just as described
","Reviewed in the United States on December 22, 2019",Great fit and look,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Sizing was dead on, quality was great!  My son LOVES it!
","Reviewed in the United States on October 13, 2020",Exactly as Promised!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Fit well, the child loved it
","Reviewed in the United States on January 29, 2020",Great child’s costume,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My 12 yrs old loved it!! Fit perfect!!
","Reviewed in the United States on February 4, 2020",Love it!!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My child loved it!!
","Reviewed in the United States on November 9, 2019",Great costume!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  My son loves it!!!
","Reviewed in the United States on September 16, 2020",🖤🖤,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Perfect
","Reviewed in the United States on October 6, 2019",My son loves it!,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  it was good quality but overpriced . Grandson loved it
","Reviewed in the United States on November 6, 2019",Quality item but overpriced,4,Disguise Bendy & The Ink Machine Classic Child Costume
"
  It was a hit for Halloween!
","Reviewed in the United States on January 15, 2020",Cute costume.,5,Disguise Bendy & The Ink Machine Classic Child Costume
"
  Price was a little high for a costume
","Reviewed in the United States on February 15, 2020",Adorable Bendy Costume,5,Disguise Bendy & The Ink Machine Classic Child Costume
